room,time,players,killed,task
,102.07304525375366,[],[],Début de round
Weapons,10.961079597473145,[],[],
Weapons,25.021607637405396,[],[],Clear Asteroids
Shields,49.80301022529602,[],[],
Shields,56.552385568618774,[],[],Prime Shields
Storage,76.06380772590637,[],[],
Admin,89.20988917350769,[],[],
Storage,93.22875952720642,[],[],
Admin,102.23594617843628,[],[],
Admin,111.06562423706055,['BLUE_PLAYER'],[],
Admin,113.96600008010864,[],[],Swipe Card
Admin,120.85446906089783,[],['BLUE_PLAYER'],
Admin,129.34600973129272,['BLUE_PLAYER'],[],
Cafeteria,130.01758909225464,['BLUE_PLAYER'],[],
Cafeteria,137.0148069858551,[],[],
,161.0421233177185,[],[],J'ai fini mes tâches !
Medbay,183.50926065444946,[],[],
Upper Engine,196.8023648262024,[],[],
Upper Engine,212.37083101272583,['GREEN_PLAYER'],[],
Reactor,214.64785599708557,['GREEN_PLAYER'],[],
Reactor,218.93933582305908,[],[],
Security,230.03622388839722,[],[],
Security,234.41725158691406,['GREEN_PLAYER'],[],
Lower Engine,236.02335691452026,['GREEN_PLAYER'],[],
Lower Engine,237.8975863456726,[],[],
Electrical,246.40294194221497,[],[],
Storage,257.05333399772644,[],[],
Admin,263.94073581695557,[],[],
Cafeteria,275.3938629627228,[],[],
Weapons,281.7929856777191,[],[],
O2,290.3274357318878,[],[],
Navigation,296.7999269962311,[],[],
Shields,305.182909488678,[],[],
Communications,310.14725518226624,[],[],
Storage,317.06467866897583,[],[],
Cafeteria,323.0817759037018,[],[],
Medbay,338.20610213279724,[],[],
Upper Engine,344.0598704814911,[],[],
Reactor,354.32216000556946,[],[],
Security,361.6979994773865,[],[],
Lower Engine,366.0894863605499,[],[],
Electrical,376.5352029800415,[],[],
Storage,387.2570059299469,[],[],
Admin,394.12785935401917,[],[],
Cafeteria,405.5103621482849,[],[],
Weapons,411.09059166908264,[],[],
O2,420.54708456993103,[],[],
Navigation,427.66801953315735,[],[],
Shields,435.9958748817444,[],[],
Communications,440.8179841041565,[],[],
Storage,447.5691418647766,[],[],
Cafeteria,453.92582535743713,[],[],
Medbay,470.0654945373535,[],[],
Upper Engine,476.0363943576813,[],[],
Reactor,486.9504110813141,[],[],
Security,494.14247274398804,[],[],
Lower Engine,498.26062512397766,[],[],
Electrical,508.96013879776,[],[],
Storage,519.8153774738312,[],[],
Admin,526.9275152683258,[],[],
Cafeteria,539.340434551239,[],[],
Weapons,544.897246837616,[],[],
O2,553.4709508419037,[],[],
Navigation,559.3114500045776,[],[],
Shields,567.3712220191956,[],[],
Communications,572.3715581893921,[],[],
Storage,579.7351696491241,[],[],
Cafeteria,586.149037361145,[],[],
Medbay,601.7444236278534,[],[],
Upper Engine,608.8632090091705,[],[],
Reactor,618.7522051334381,[],[],
Security,625.9791438579559,[],[],
Lower Engine,630.530250787735,[],[],
Electrical,641.5301332473755,[],[],
Storage,652.3675100803375,[],[],
Admin,659.4935307502747,[],[],
Cafeteria,671.277006149292,[],[],
Weapons,677.2469289302826,[],[],
O2,686.6298317909241,[],[],
Navigation,693.1257929801941,[],[],
Shields,701.7766253948212,[],[],
Communications,706.6786198616028,[],[],
Storage,714.0228471755981,[],[],
Cafeteria,720.1720597743988,[],[],
Medbay,735.947913646698,[],[],
Upper Engine,749.7754058837891,[],[],
Upper Engine,763.6633009910583,['BLACK_PLAYER'],[],
Upper Engine,769.963160276413,[],[],
