room,time,players,killed,task
Cafeteria,0.010998964309692383,[],[],Début de round
Cafeteria,3.06123948097229,"['LIME_PLAYER', 'GREEN_PLAYER', 'YELLOW_PLAYER', 'BLUE_PLAYER', 'ORANGE_PLAYER']",[],
Cafeteria,46.81638145446777,"['BLUE_PLAYER', 'GREEN_PLAYER']",[],
Cafeteria,52.04450964927673,[],[],Empty Garbage/Chute (Cafeteria)
Storage,74.64460849761963,[],[],
Storage,87.22666025161743,['ORANGE_PLAYER'],[],Fix Wires (Storage)
Storage,91.50769066810608,[],[],
Electrical,99.23858737945557,[],[],
Electrical,113.10413312911987,[],[],Calibrate Distributor
Electrical,148.7152488231659,[],[],Divert Power
Storage,160.7152488231659,[],[],
Shields,168.1905710697174,[],[],
O2,182.53176283836365,[],[],
Weapons,213.21877241134644,[],[],
Cafeteria,222.89180612564087,[],[],
Admin,238.72400498390198,[],[],
Admin,244.5979926586151,['BLUE_PLAYER'],[],
Admin,256.43926668167114,[],[],Swipe Card
Cafeteria,0.010998964309692383,"['BLUE_PLAYER', 'LIME_PLAYER', 'ORANGE_PLAYER']",[],Début de round
Upper Engine,3.06123948097229,[],[],
Upper Engine,46.81638145446777,[],[],Align Engine (Upper Engine)
Security,52.04450964927673,['GREEN_PLAYER'],[],
Security,74.64460849761963,[],[],Accept Power (Security)
Reactor,91.50769066810608,[],[],
Lower Engine,99.23858737945557,['GREEN_PLAYER'],[],
Lower Engine,113.10413312911987,[],[],
Electrical,148.7152488231659,[],[],
Electrical,160.7152488231659,[],['LIME_PLAYER'],
Cafeteria,0.010998964309692383,[],[],Début de round
Storage,3.06123948097229,[],[],
Storage,46.81638145446777,['ORANGE_PLAYER'],[],
Admin,52.04450964927673,['ORANGE_PLAYER'],[],
Admin,74.64460849761963,[],[],
Cafeteria,87.22666025161743,[],[],
Cafeteria,91.50769066810608,['ORANGE_PLAYER'],[],
Weapons,99.23858737945557,['ORANGE_PLAYER'],[],
O2,113.10413312911987,['ORANGE_PLAYER'],[],
Navigation,148.7152488231659,['ORANGE_PLAYER'],[],
Shields,160.7152488231659,['ORANGE_PLAYER'],[],
Shields,168.1905710697174,[],[],
Communications,182.53176283836365,[],[],
Storage,213.21877241134644,[],[],
Cafeteria,222.89180612564087,[],[],
Medbay,238.72400498390198,['GREEN_PLAYER'],[],
Cafeteria,244.5979926586151,[],[],
Upper Engine,256.43926668167114,[],[],
Reactor,269.035145998001,[],[],
Reactor,287.6942923069,['GREEN_PLAYER'],[],
Reactor,302.54612326622,"['GREEN_PLAYER', 'ORANGE_PLAYER']",[],
